Results on the classifier: CLASSIFIERS for the cipher: AES on mode: CBC

img: t | detection: 3 | compression time: 0,066s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 2 | compression time: 0,118s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 4 | compression time: 0,114s | decompression time: 0,012s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,094s | decompression time: 0,012s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,098s | decompression time: 0,011s | img initial dimension: 5kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,089s | decompression time: 0,014s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,102s | decompression time: 0,016s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,145s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,086s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,104s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,116s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,118s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,102s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,108s | decompression time: 0,019s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,092s | decompression time: 0,017s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,092s | decompression time: 0,017s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,134s | decompression time: 0,025s | img initial dimension: 7kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,1s | decompression time: 0,02s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,162s | decompression time: 0,026s | img initial dimension: 7kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,159s | decompression time: 0,024s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,101s | decompression time: 0,026s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,089s | decompression time: 0,029s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,093s | decompression time: 0,025s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 1 | compression time: 0,113s | decompression time: 0,028s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,103s | decompression time: 0,032s | img initial dimension: 5kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,09s | decompression time: 0,029s | img initial dimension: 7kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,15s | decompression time: 0,031s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,125s | decompression time: 0,027s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 1 | compression time: 0,093s | decompression time: 0,024s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,118s | decompression time: 0,037s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,146s | decompression time: 0,025s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,107s | decompression time: 0,028s | img initial dimension: 11kb | img secure dimension: 14kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,221s | decompression time: 0,033s | img initial dimension: 9kb | img secure dimension: 12kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,109s | decompression time: 0,026s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,128s | decompression time: 0,026s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,144s | decompression time: 0,031s | img initial dimension: 4kb | img secure dimension: 6kb | img decompressed dimensions: 26kb.
img: t | detection: 1 | compression time: 0,098s | decompression time: 0,028s | img initial dimension: 4kb | img secure dimension: 6kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,122s | decompression time: 0,026s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 26kb.
img: t | detection: 6 | compression time: 0,802s | decompression time: 0,031s | img initial dimension: 151kb | img secure dimension: 155kb | img decompressed dimensions: 26kb.
img: t | detection: 9 | compression time: 1,848s | decompression time: 0,005s | img initial dimension: 139kb | img secure dimension: 142kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,262s | decompression time: 0,003s | img initial dimension: 33kb | img secure dimension: 0kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,12s | decompression time: 0,003s | img initial dimension: 36kb | img secure dimension: 0kb | img decompressed dimensions: 26kb.
img: t | detection: 1 | compression time: 0,511s | decompression time: 0,003s | img initial dimension: 230kb | img secure dimension: 230kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,145s | decompression time: 0,003s | img initial dimension: 50kb | img secure dimension: 0kb | img decompressed dimensions: 26kb.
img: t | detection: 1 | compression time: 0,134s | decompression time: 0,003s | img initial dimension: 42kb | img secure dimension: 41kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,109s | decompression time: 0,003s | img initial dimension: 32kb | img secure dimension: 0kb | img decompressed dimensions: 26kb.
img: t | detection: 4 | compression time: 0,573s | decompression time: 0,003s | img initial dimension: 159kb | img secure dimension: 160kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,124s | decompression time: 0,003s | img initial dimension: 46kb | img secure dimension: 160kb | img decompressed dimensions: 26kb.
img: t | detection: 6 | compression time: 0,604s | decompression time: 0,003s | img initial dimension: 152kb | img secure dimension: 154kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,093s | decompression time: 0,003s | img initial dimension: 45kb | img secure dimension: 0kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,118s | decompression time: 0,003s | img initial dimension: 45kb | img secure dimension: 0kb | img decompressed dimensions: 26kb.
img: t | detection: 7 | compression time: 0,539s | decompression time: 0,003s | img initial dimension: 109kb | img secure dimension: 112kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,113s | decompression time: 0,003s | img initial dimension: 46kb | img secure dimension: 46kb | img decompressed dimensions: 26kb.
img: t | detection: 5 | compression time: 0,166s | decompression time: 0,003s | img initial dimension: 38kb | img secure dimension: 39kb | img decompressed dimensions: 26kb.
img: t | detection: 7 | compression time: 0,538s | decompression time: 0,003s | img initial dimension: 125kb | img secure dimension: 127kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,392s | decompression time: 0,003s | img initial dimension: 190kb | img secure dimension: 190kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,319s | decompression time: 0,003s | img initial dimension: 181kb | img secure dimension: 0kb | img decompressed dimensions: 26kb.
img: t | detection: 11 | compression time: 0,624s | decompression time: 0,002s | img initial dimension: 135kb | img secure dimension: 142kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,107s | decompression time: 0,004s | img initial dimension: 34kb | img secure dimension: 34kb | img decompressed dimensions: 26kb.
img: t | detection: 6 | compression time: 0,423s | decompression time: 0,002s | img initial dimension: 116kb | img secure dimension: 119kb | img decompressed dimensions: 26kb.
img: t | detection: 8 | compression time: 0,528s | decompression time: 0,003s | img initial dimension: 158kb | img secure dimension: 162kb | img decompressed dimensions: 26kb.
img: t | detection: 8 | compression time: 0,543s | decompression time: 0,003s | img initial dimension: 175kb | img secure dimension: 179kb | img decompressed dimensions: 26kb.
img: t | detection: 4 | compression time: 0,156s | decompression time: 0,003s | img initial dimension: 35kb | img secure dimension: 38kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,503s | decompression time: 0,003s | img initial dimension: 176kb | img secure dimension: 177kb | img decompressed dimensions: 26kb.
img: t | detection: 7 | compression time: 0,404s | decompression time: 0,003s | img initial dimension: 197kb | img secure dimension: 199kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,12s | decompression time: 0,003s | img initial dimension: 53kb | img secure dimension: 0kb | img decompressed dimensions: 26kb.
img: t | detection: 6 | compression time: 0,58s | decompression time: 0,002s | img initial dimension: 180kb | img secure dimension: 183kb | img decompressed dimensions: 26kb.
img: t | detection: 11 | compression time: 0,587s | decompression time: 0,003s | img initial dimension: 159kb | img secure dimension: 164kb | img decompressed dimensions: 26kb.

average compression time: 0,22s | average decompression time: 0,011s | average initial dimension: 45,278kb | average secure dimension: 42,671kb.


Results on the classifier: CLASSIFIERS for the cipher: AES on mode: ECB

img: t | detection: 3 | compression time: 0,068s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 1 | compression time: 0,074s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 5kb | img decompressed dimensions: 26kb.
img: t | detection: 0 | compression time: 0,061s | decompression time: 0,003s | img initial dimension: 10kb | img secure dimension: 0kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,088s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,083s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,083s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,093s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,089s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 26kb.
img: t | detection: 1 | compression time: 0,108s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,11s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 6kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,127s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 6kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,103s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,123s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 4 | compression time: 0,126s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,13s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,098s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,147s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,128s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,135s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,118s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,112s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,152s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 3 | compression time: 0,113s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,138s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,109s | decompression time: 0,027s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,118s | decompression time: 0,023s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,087s | decompression time: 0,023s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,132s | decompression time: 0,029s | img initial dimension: 7kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,128s | decompression time: 0,023s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,15s | decompression time: 0,021s | img initial dimension: 7kb | img secure dimension: 9kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,105s | decompression time: 0,024s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
img: t | detection: 2 | compression time: 0,17s | decompression time: 0,021s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 26kb.
